SONG NAME,ARTIST NAME,url,id
Like An Eagle,Nancy Whang & Audiojack ,,
Love songs   ,Dj Dodger Stadium ,,
Can’t Do Without You ,Caribou,https://open.spotify.com/track/3n4M80UmJNHws4ZqdM7KEF,3n4M80UmJNHws4ZqdM7KEF
Dangerous days ,Zola Jesus ,https://open.spotify.com/track/0zrLF6EcVfZxHndmYN9wG3,0zrLF6EcVfZxHndmYN9wG3
Mesmerize,Temples,https://open.spotify.com/track/5oTo7Roxo1qeAnbTg8r6k0,5oTo7Roxo1qeAnbTg8r6k0
Country Kills  ,Popstrangers,https://open.spotify.com/track/0X8ZWHTcnlxxK1MTWNoinr,0X8ZWHTcnlxxK1MTWNoinr
Old 45’s   ,Chromeo,https://open.spotify.com/track/3tynLfCMPGbkMKLm9p960T,3tynLfCMPGbkMKLm9p960T
It’s better for you  Shafiq Husayn feat. Anderson Paak ,,,
Pray for Newtown ,Sun Kil Moon ,https://open.spotify.com/track/2bsf1rihcpTAZJtYtvbx4u,2bsf1rihcpTAZJtYtvbx4u
I can’t live without my mother’s love  ,Sun Kil Moon ,https://open.spotify.com/track/04vvm1hJfBa90vsAkmUmXU,04vvm1hJfBa90vsAkmUmXU
Things behind the sun   ,Dave Harrington (Darkside) feat Tamara,,
Going home  ,Marianne Faithfull,https://open.spotify.com/track/7EiAx8OfZpsOz60RflVdNn,7EiAx8OfZpsOz60RflVdNn
I’m glad I found you ,Neil young ,https://open.spotify.com/track/6G2hxPgxG8uxlpvOhIyZYb,6G2hxPgxG8uxlpvOhIyZYb
Transgender Dysphoria Blues  ,Against Me ,https://open.spotify.com/track/4RdpSi00jdvfRLZb3Q1WhB,4RdpSi00jdvfRLZb3Q1WhB
All due respect  ,Run The Jewels ,https://open.spotify.com/track/2h82pgSwoWbhiedinenqLC,2h82pgSwoWbhiedinenqLC
Early,Run The Jewels ,https://open.spotify.com/track/7vVBrSGcMp0gfky9dKCkiE,7vVBrSGcMp0gfky9dKCkiE
Close Your Eyes (And Count To F**k) ,Run The Jewels feat. Zack de la Rocha ,,
Digital Witness,St Vincent ,https://open.spotify.com/track/5L16tlSHNt93RiiRiCc8ya,5L16tlSHNt93RiiRiCc8ya
Luna,Bombay Bicycle Club ,https://open.spotify.com/track/11EOvxJRG665bwRU0z6YVa,11EOvxJRG665bwRU0z6YVa
Carry on phenomenon ,Kishi Bashi ,https://open.spotify.com/track/1jZQF0ANhqRIakGV7Hp4xf,1jZQF0ANhqRIakGV7Hp4xf
Another love  ,Prince & 3rdeyegirl ,,
I,Kendrick Lamar ,https://open.spotify.com/track/7wdzLe2Gsx1RGqbvYZHASz,7wdzLe2Gsx1RGqbvYZHASz
We do it  ,Jurassic 5,,
Under the pressure ,The War On Drugs ,https://open.spotify.com/track/45D0ixQWzXQOoU1S9aSnKk,45D0ixQWzXQOoU1S9aSnKk
Red eyes  ,The War On Drugs ,https://open.spotify.com/track/71jGGLe5VtEHjIk5dU2W3S,71jGGLe5VtEHjIk5dU2W3S
Weigh true words  ,I Break Horses ,https://open.spotify.com/track/3DcOmTmmSbzfNmrjPcSbJH,3DcOmTmmSbzfNmrjPcSbJH
Tied  Up Tied Down ,Teen,https://open.spotify.com/track/6P52f2gVNP0FxjqyVRO9sj,6P52f2gVNP0FxjqyVRO9sj
America here’s my boy  ,Beck & Swamp Dogg ,,
Sacrilege,Yeah Yeah Yeahs ,https://open.spotify.com/track/2pQZ9g4vaFNXO42kMe8e3w,2pQZ9g4vaFNXO42kMe8e3w
Tough Luck ,Eagulls,https://open.spotify.com/track/5egI6aRofbftvOUBnD9duY,5egI6aRofbftvOUBnD9duY
Bagboy,Pixies,https://open.spotify.com/track/5pOCy5fGl3vGdBSo663zuo,5pOCy5fGl3vGdBSo663zuo
Another Toe  ,Pixies,https://open.spotify.com/track/3M0M8Mj6i75KQtCQkmBYdR,3M0M8Mj6i75KQtCQkmBYdR
Ancient Civilization  ,Screaming Females ,,
Wenu Wenu ,Omar Souleyman,https://open.spotify.com/track/3cAeVEM3e2qv2V4lVhMpdR,3cAeVEM3e2qv2V4lVhMpdR
Get Lucky ,Daft Punk feat. Pharell Williams ,,
Doin’ it right  ,Daft Punk feat. Panda Bear,,
One Way Trigger ,The Strokes ,https://open.spotify.com/track/5GKVcvTgnFYtfh25qKQtRg,5GKVcvTgnFYtfh25qKQtRg
All the time ,The Strokes ,https://open.spotify.com/track/7uFZNMEZzAGOwQ6EZID1K4,7uFZNMEZzAGOwQ6EZID1K4
Just make it stop ,Low,https://open.spotify.com/track/0LbgdZ9dqiAfkFQucItS0r,0LbgdZ9dqiAfkFQucItS0r
Paradise Mislaid  ,Julian Cope ,https://open.spotify.com/track/1eCUQk9R43x5cLpb6GRyoA,1eCUQk9R43x5cLpb6GRyoA
Denial,I Break Horses ,https://open.spotify.com/track/4ch6PWPVnNspxJO0Qg8GsN,4ch6PWPVnNspxJO0Qg8GsN
Water Me,FKA Twigs ,https://open.spotify.com/track/60MP5Sx3e6OGVEBEDfKREv,60MP5Sx3e6OGVEBEDfKREv
Play By Play ,Autre Ne Veut ,https://open.spotify.com/track/0pJ535XTPiOaVnedNJzj8U,0pJ535XTPiOaVnedNJzj8U
Darkness,King Khan & The Shrines ,https://open.spotify.com/track/5ZJXPScSRf1TETUdsVjiNN,5ZJXPScSRf1TETUdsVjiNN
Ironworks ,Baths,https://open.spotify.com/track/1xhX4SHkud3JnW8WWQ6pk2,1xhX4SHkud3JnW8WWQ6pk2
Porcelain,Snowbird,https://open.spotify.com/track/48i5gExvHIGC82SPcyyF8Q,48i5gExvHIGC82SPcyyF8Q
Retrograde,James Blake ,https://open.spotify.com/track/2IqjKEBiz0CdLKdkXhxw84,2IqjKEBiz0CdLKdkXhxw84
Right Action ,Franz Ferdinand ,https://open.spotify.com/track/06Qha323s06okpZ4LmMX7P,06Qha323s06okpZ4LmMX7P
I can hardly make you mine  ,Cults,https://open.spotify.com/track/2MZpnGSXiJamWiwsXpBLHW,2MZpnGSXiJamWiwsXpBLHW
